"","Company","Year","Start Year Revenue (USD)","Revenue Growth (NYU CAGR)","Revenue Growth (S&P)","Scope 1 Emission Intensity (Company) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 2 Emission Intensity (Company) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 1&2 Emission Intensity (Company) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Max) (tCO2e/USD)","End Target (Current)","End Target (None to NZT)","End Target (Top 50% None to NZT)","Interim Target (Current)","Interim Target (None to 50% by 2030)","Slowdown (2022) End Target (Current) Revenue Growth (S&P)","Slowdown (2022) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Current) Revenue Growth (S&P)","Slowdown (2030) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Current) Revenue Growth (S&P)","Slowdown (2040) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Company Type"
"10096","ambev","2021","72854300000.0","","1.058194305647705","7.027141157076521e-06","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","3.947817630531074e-06","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","1.0974958787607592e-05","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","1.0","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","Herd"
"10097","ambev","2022","72854300000.0","","1.088549368692949","7.027141157076521e-06","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","3.947817630531074e-06","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","1.0974958787607592e-05","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","0.9655172413793104","","","0.9444444444444444","1.0483812645019677","1.0","0.9655172413793104","0.9655172413793104","1.0483812645019677","1.0","1.088549368692949","1.0","1.088549368692949","0.9655172413793104","1.088549368692949","1.0","1.088549368692949","1.0","1.088549368692949","0.9655172413793104","1.088549368692949","1.0","Herd"
"10098","ambev","2023","72854300000.0","","1.1197751885052285","7.027141157076521e-06","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","3.947817630531074e-06","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","1.0974958787607592e-05","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","0.9310344827586208","","","0.8888888888888888","1.0967625290039351","1.0","0.9310344827586208","0.9310344827586208","1.0967625290039351","1.0","1.1197751885052285","1.0","1.1197751885052285","0.9310344827586208","1.1197751885052285","1.0","1.1197751885052285","1.0","1.1197751885052285","0.9310344827586208","1.1197751885052285","1.0","Herd"
"10099","ambev","2024","72854300000.0","","1.1518967433672829","7.027141157076521e-06","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","3.947817630531074e-06","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","1.0974958787607592e-05","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","0.896551724137931","","","0.8333333333333334","1.145143793505903","1.0","0.896551724137931","0.896551724137931","1.145143793505903","1.0","1.1518967433672829","1.0","1.1518967433672829","0.896551724137931","1.1518967433672829","1.0","1.1518967433672829","1.0","1.1518967433672829","0.896551724137931","1.1518967433672829","1.0","Herd"
"10100","ambev","2025","72854300000.0","","1.184939728081818","7.027141157076521e-06","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","3.947817630531074e-06","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","1.0974958787607592e-05","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","0.8620689655172413","","","0.7777777777777778","1.193525058007871","1.0","0.8620689655172413","0.8620689655172413","1.193525058007871","1.0","1.184939728081818","1.0","1.184939728081818","0.8620689655172413","1.184939728081818","1.0","1.184939728081818","1.0","1.184939728081818","0.8620689655172413","1.184939728081818","1.0","Herd"
"10101","ambev","2026","72854300000.0","","1.2189305745253944","7.027141157076521e-06","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","3.947817630531074e-06","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","1.0974958787607592e-05","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","0.8275862068965517","","","0.7222222222222222","1.2419063225098386","1.0","0.8275862068965517","0.8275862068965517","1.2419063225098386","1.0","1.2189305745253944","1.0","1.2189305745253944","0.8275862068965517","1.2189305745253944","1.0","1.2189305745253944","1.0","1.2189305745253944","0.8275862068965517","1.2189305745253944","1.0","Herd"
"10102","ambev","2027","72854300000.0","","1.25389647279192","7.027141157076521e-06","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","3.947817630531074e-06","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","1.0974958787607592e-05","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","0.7931034482758621","","","0.6666666666666667","1.290287587011806","1.0","0.7931034482758621","0.7931034482758621","1.290287587011806","1.0","1.25389647279192","1.0","1.25389647279192","0.7931034482758621","1.25389647279192","1.0","1.25389647279192","1.0","1.25389647279192","0.7931034482758621","1.25389647279192","1.0","Herd"
"10103","ambev","2028","72854300000.0","","1.289865392942658","7.027141157076521e-06","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","3.947817630531074e-06","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","1.0974958787607592e-05","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","0.7586206896551724","","","0.6111111111111112","1.338668851513774","1.0","0.7586206896551724","0.7586206896551724","1.338668851513774","1.0","1.289865392942658","1.0","1.289865392942658","0.7586206896551724","1.289865392942658","1.0","1.289865392942658","1.0","1.289865392942658","0.7586206896551724","1.289865392942658","1.0","Herd"
"10104","ambev","2029","72854300000.0","","1.326866107380152","7.027141157076521e-06","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","3.947817630531074e-06","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","1.0974958787607592e-05","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","0.7241379310344828","","","0.5555555555555556","1.3870501160157416","1.0","0.7241379310344828","0.7241379310344828","1.3870501160157416","1.0","1.326866107380152","1.0","1.326866107380152","0.7241379310344828","1.326866107380152","1.0","1.326866107380152","1.0","1.326866107380152","0.7241379310344828","1.326866107380152","1.0","Herd"
"10105","ambev","2030","72854300000.0","","1.36492821386396","7.027141157076521e-06","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","3.947817630531074e-06","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","1.0974958787607592e-05","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","0.6896551724137931","","","0.5","1.4354313805177092","1.0","0.6896551724137931","0.6896551724137931","1.4354313805177092","1.0","1.378113277055243","1.0","1.2636820070287162","0.6896551724137931","1.378113277055243","1.0","1.36492821386396","1.0","1.36492821386396","0.6896551724137931","1.36492821386396","1.0","Herd"
